participant_id,age_group,condition,semantic_framing,list,verb_form,item_id,target_response,child_response,eo_preference
P25,5yo,ES,habitual,L1,payramoq,1,puppy,puppy,0
P25,5yo,ES,habitual,L1,payramoq,4,puppy,bunny,1
P25,5yo,ES,habitual,L1,payramoq,5,monkey,monkey,0
P25,5yo,ES,habitual,L1,payramoq,8,bunny,monkey,0
P26,5yo,ES,habitual,L2,navamoq,2,monkey,monkey,0
P26,5yo,ES,habitual,L2,navamoq,3,bunny,puppy,1
P26,5yo,ES,habitual,L2,navamoq,6,monkey,monkey,0
P26,5yo,ES,habitual,L2,navamoq,7,bunny,puppy,1
P27,5yo,ES,habitual,L1,payramoq,1,puppy,puppy,0
P27,5yo,ES,habitual,L1,payramoq,4,puppy,puppy,0
P27,5yo,ES,habitual,L1,payramoq,5,monkey,bunny,1
P27,5yo,ES,habitual,L1,payramoq,8,bunny,puppy,1
P28,5yo,ES,habitual,L2,payramoq,2,monkey,monkey,0
P28,5yo,ES,habitual,L2,payramoq,3,bunny,monkey,1
P28,5yo,ES,habitual,L2,payramoq,6,monkey,monkey,0
P28,5yo,ES,habitual,L2,payramoq,7,bunny,bunny,0
P29,5yo,ES,habitual,L1,payramoq,1,puppy,puppy,0
P29,5yo,ES,habitual,L1,payramoq,4,puppy,bunny,1
P29,5yo,ES,habitual,L1,payramoq,5,monkey,monkey,0
P29,5yo,ES,habitual,L1,payramoq,8,bunny,bunny,0
P30,5yo,ES,habitual,L2,payramoq,2,monkey,monkey,0
P30,5yo,ES,habitual,L2,payramoq,3,bunny,puppy,1
P30,5yo,ES,habitual,L2,payramoq,6,monkey,monkey,0
P30,5yo,ES,habitual,L2,payramoq,7,bunny,bunny,0
P31,5yo,EO,emotional,L1,navamoq,1,monkey,monkey,1
P31,5yo,EO,emotional,L1,navamoq,4,bunny,bunny,1
P31,5yo,EO,emotional,L1,navamoq,5,puppy,monkey,0
P31,5yo,EO,emotional,L1,navamoq,8,monkey,monkey,1
P32,5yo,EO,emotional,L2,navamoq,2,puppy,puppy,1
P32,5yo,EO,emotional,L2,navamoq,3,monkey,monkey,1
P32,5yo,EO,emotional,L2,navamoq,6,bunny,monkey,0
P32,5yo,EO,emotional,L2,navamoq,7,puppy,puppy,1
P33,5yo,EO,emotional,L1,navamoq,1,monkey,monkey,1
P33,5yo,EO,emotional,L1,navamoq,4,bunny,bunny,1
P33,5yo,EO,emotional,L1,navamoq,5,puppy,bunny,0
P33,5yo,EO,emotional,L1,navamoq,8,monkey,monkey,1
P34,5yo,EO,emotional,L2,navamoq,2,puppy,puppy,1
P34,5yo,EO,emotional,L2,navamoq,3,monkey,monkey,1
P34,5yo,EO,emotional,L2,navamoq,6,bunny,bunny,1
P34,5yo,EO,emotional,L2,navamoq,7,puppy,bunny,0
P35,5yo,EO,emotional,L1,navamoq,1,monkey,monkey,1
P35,5yo,EO,emotional,L1,navamoq,4,bunny,bunny,1
P35,5yo,EO,emotional,L1,navamoq,5,puppy,monkey,0
P35,5yo,EO,emotional,L1,navamoq,8,monkey,monkey,1
P36,5yo,EO,emotional,L2,payramoq,2,puppy,puppy,1
P36,5yo,EO,emotional,L2,payramoq,3,monkey,monkey,1
P36,5yo,EO,emotional,L2,payramoq,6,bunny,bunny,1
P36,5yo,EO,emotional,L2,payramoq,7,puppy,puppy,1
P37,5yo,EO,emotional,L1,payramoq,1,monkey,monkey,1
P37,5yo,EO,emotional,L1,payramoq,4,bunny,puppy,0
P37,5yo,EO,emotional,L1,payramoq,5,puppy,puppy,1
P37,5yo,EO,emotional,L1,payramoq,8,monkey,monkey,1
P38,5yo,EO,emotional,L2,payramoq,2,puppy,puppy,1
P38,5yo,EO,emotional,L2,payramoq,3,monkey,monkey,1
P38,5yo,EO,emotional,L2,payramoq,6,bunny,bunny,1
P38,5yo,EO,emotional,L2,payramoq,7,puppy,puppy,1
P39,5yo,EO,emotional,L1,payramoq,1,monkey,monkey,1
P39,5yo,EO,emotional,L1,payramoq,4,bunny,monkey,0
P39,5yo,EO,emotional,L1,payramoq,5,puppy,puppy,1
P39,5yo,EO,emotional,L1,payramoq,8,monkey,monkey,1
P40,5yo,EO,emotional,L2,payramoq,2,puppy,puppy,1
P40,5yo,EO,emotional,L2,payramoq,3,monkey,bunny,0
P40,5yo,EO,emotional,L2,payramoq,6,bunny,bunny,1
P40,5yo,EO,emotional,L2,payramoq,7,puppy,puppy,1
